Effect List,Effect List,Effect,Effect,Effect,Effect,Effect,Effect,Effect,Effect,,,,,
;,1486,,,,,,,,,,,,,
;,1487,,,,,,,,,,,,,
1488,CAST_CH_AoFear,1432,,,,,,,,,,,,
1489,DeBUFF_CH_AoFear,1433,,,,,,,,,,,,
1490,BUFF_Loop_CH_AoFear,1434,,,,,,,,,,,,
1491,CAST_CH_AoRepulsion,1435,,,,,,,,,,,,
1492,DeBuff_CH_AoRepulsion,1436,,,,,,,,,,,,
1493,BUFF_Loop_CH_AoRepulsion,1437,,,,,,,,,,,,
1494,CAST_CH_AoWithering,1438,,,,,,,,,,,,
1495,DeBUFF_CH_AoWithering,1439,,,,,,,,,,,,
1496,BUFF_Loop_CH_AoWithering,1440,,,,,,,,,,,,
1497,IMPACT_EM_Electrical,1441,,,,,,,,,,,,
1498,IMPACT_EM_Slash,1442,,,,,,,,,,,,
1499,DBUF_EM_Healdown,1443,,,,,,,,,,,,
1500,vfx_Weapontrail_CH_RedPur,1444,,,,,,,,,,,,
1501,vfx_Weapontrail_CH_BluPur,1445,,,,,,,,,,,,
1502,vfx_Weapontrail_CH_BluYel,1446,,,,,,,,,,,,
;,1503,,,,,,,,,,,,,
1504,IMPACT_EM_Powdershot,1448,,,,,,,,,,,,
;,1505,,,,,,,,,,,,,
1506,Impact_CH_Chosen02,1450,,,,,,,,,,,,
1507,IMPACT_Em_Low Slash,1451,,,,,,,,,,,,
;,1508,,,,,,,,,,,,,
1509,IMPACT with Bloodspurt,1452,1456,,,,,,,,,,,
1510,Impact_CH_Seeping,1454,,,,,,,,,,,,
1511,Build_CH_Ravage,1455,,,,,,,,,,,,
1512,Impact_CH_Ravage,1453,,,,,,,,,,,,
;,1513,,,,,,,,,,,,,
;,1514,,,,,,,,,,,,,
1515,vfx_Weapontrail_WHOrange,1458,,,,,,,,,,,,
;,1516,,,,,,,,,,,,,
1517,IMPACT_EM_DragonGun,1460,,,,,,,,,,,,
1518,Aura_CH_Petrify01,1461,,,,,,,,,,,,
1519,BUFF_Shield_Reflection,1462,,,,,,,,,,,,
1520,BUFF_CH_Strength01,1463,,,,,,,,,,,,
1521,DeBUFF_CH_Strength01,1464,,,,,,,,,,,,
1522,Impact_CH_Relentless01,1465,,,,,,,,,,,,
1523,Impact_CH_Magic01,1466,,,,,,,,,,,,
1524,AOE_LOOP_EM_Annihalate,1467,1470,2796,,,,,,,,,,
1525,CAST_AOE_EM_Annihalate,1468,,,,,,,,,,,,
1526,Impact_CH_RendWave01,1469,,,,,,,,,,,,
1527,block_CH_Oppress01,1471,,,,,,,,,,,,
1528,ATK_EM_BurnHeretic,1472,1489,,,,,,,,,,,
1529,animtags_Activate ,1473,,,,,,,,,,,,
1530,animtags_Build ,1474,,,,,,,,,,,,
1531,animtags_channel ,1475,347,,,,,,,,,,,
1532,animtags_Fire_Main ,1476,,,,,,,,,,,,
1533,animtags_Fire_Off ,1477,,,,,,,,,,,,
1534,animtags_Firehit_off ,1478,,,,,,,,,,,,
1535,animtags_Hit_Main ,1479,,,,,,,,,,,,
1536,animtags_Hit_Off ,1480,,,,,,,,,,,,
1537,animtags_Trail_Main ,1481,700,,,,,,,,,,,
1538,animtags_Trail_Off ,1482,,,,,,,,,,,,
1539,DBUF_GEN_Disarm_BothHands,1483,1484,,,,,,,,,,,
1540,BUFF_CH_ParryUp,1485,,,,,,,,,,,,
1541,block_CH_spell01,1486,,,,,,,,,,,,
1542,Impact_CH_RendingB,1487,,,,,,,,,,,,
1543,vfx_Weapontrail_WHOrange,1488,,,,,,,,,,,,
1544,vfx_Weapontrail_WHOrange,1488,1458,,,,,,,,,,,
1545,GEN_Smolder,1489,,,,,,,,,,,,
1546,ATK_EM_FireballBarrage,1490,,,,,,,,,,,,
1547,ATK_Chosen_Quake_BlueFlash,1491,,,,,,,,,,,,
1548,IMPACT_CH_AoWrath_dmg,1492,,,,,,,,,,,,
1549,BLOCK_CH_AoWrath,1493,,,,,,,,,,,,
1550,AOE_CH_Shield01,1494,,,,,,,,,,,,
;,1551,,,,,,,,,,,,,
;,1552,,,,,,,,,,,,,
1553,PROJ_mek_Hbthrower01,1497,,,,,,,,,,,,
1554,LOOP_BUFF_Cauldron,1498,,,,,,,,,,,,
1555,GEN_Torchlight_Ground,1499,,,,,,,,,,,,
1556,FIG_Impact_Cold,1500,,,,,,,,,,,,
1557,CONE_ColdBreath,1501,,,,,,,,,,,,
1558,LOOP_Crystal_Sparkles,1502,,,,,,,,,,,,
1559,AOE_WAVE_Cauldron,1503,,,,,,,,,,,,
;,1560,,,,,,,,,,,,,
1561,Cast_HE_Staff_Lightning,1505,,,,,,,,,,,,
1562,BUFF_HE_HealUP,1506,,,,,,,,,,,,
1563,BUFF_HE_Block,1507,,,,,,,,,,,,
1564,AOE_HE_WrathofHoeth,1508,,,,,,,,,,,,
1565,BUF_HE_APBuff,1509,,,,,,,,,,,,
1566,DBUF_HE_MoralLoss,1510,,,,,,,,,,,,
1567,AOE_CAST_HE_Lightning,1511,,,,,,,,,,,,
1568,AOE_HE_Lightning_loop,1512,,,,,,,,,,,,
1569,Gen_Steath,1403,,,,,,,,,,,,
1570,AOE_HE_BlurringShock,1513,,,,,,,,,,,,
1571,PtoP_HE_Gaze,1514,1515,,,,,,,,,,,
1572,MISC_SkinningFlies,1516,,,,,,,,,,,,
1573,Cast_HE_EyeFlash,1517,,,,,,,,,,,,
1574,AOE_DE_Shades,1518,,,,,,,,,,,,
1575,HE_Float_Twinkels,1519,,,,,,,,,,,,
1576,PROJ_TrollRock01,1520,,,,,,,,,,,,
1577,DBUF_DE_Healdown,1521,,,,,,,,,,,,
1578,BUFF_DE_Strength01,1522,,,,,,,,,,,,
1579,vfx_Weapontrail_DElfDagger_Green,1523,1525,,,,,,,,,,,
1580,vfx_Weapontrail_DElfDagger_Plague,1524,1526,,,,,,,,,,,
1581,DE_LOOP_BloodOff,1527,,,,,,,,,,,,
1582,DE_LOOP_WE_Rage,1528,,,,,,,,,,,,
;,1583,,,,,,,,,,,,,
1584,vfx_Weapontrail_DElfDagger_Standard,1530,1532,,,,,,,,,,,
1585,vfx_Weapontrail_DElfDagger_Red,1531,1533,,,,,,,,,,,
;,1586,,,,,,,,,,,,,
1587,BUFF_DE_WE_RageActivate,1535,,,,,,,,,,,,
1588,CONE_DE_Wave,1536,,,,,,,,,,,,
1589,DBUF_DE_Speed,1537,,,,,,,,,,,,
1590,IMPACT_PlagueImpact,1538,,,,,,,,,,,,
1591,PtoP_DE_Transfer01,1539,,,,,,,,,,,,
;,1592,,,,,,,,,,,,,
;,1593,,,,,,,,,,,,,
;,1594,,,,,,,,,,,,,
1595,BUF_DE_APBuff,1542,,,,,,,,,,,,
1596,DBUF_DE_APDebuff_Impact,1543,981,,,,,,,,,,,
1597,BUFF_DE_Speed,1544,,,,,,,,,,,,
1598,BUFF_DE_RemoveDebuff,1545,,,,,,,,,,,,
1599,DBUF_DE_INT&Will,1546,1547,,,,,,,,,,,
1600,BUFF_DE_INT&Will,1548,1549,,,,,,,,,,,
1601,DBUF_DE_MoralLoss,1550,,,,,,,,,,,,
;,1602,,,,,,,,,,,,,
1603,BUFF_DE_FIG_Toughness01,1552,,,,,,,,,,,,
1604,DeBUFF_DE_FIG_Toughness01,1553,,,,,,,,,,,,
1605,DeBUFF_DE_Strength01,1554,,,,,,,,,,,,
1606,DBUF_DE_APDebuff,1555,,,,,,,,,,,,
1607,DeBUFF_DE_Balistic01,1556,,,,,,,,,,,,
1608,Impact_GEN_Cannon,1557,912,,,,,,,,,,,
1609,AoE_DE_Covenant_C,1558,,,,,,,,,,,,
1610,AoE_DE_Covenant_V,1559,,,,,,,,,,,,
1611,AoE_DE_Covenant_T,1560,,,,,,,,,,,,
;,1612,,,,,,,,,,,,,
1613,DBUF_HE_Speed,1562,,,,,,,,,,,,
1614,DE_LOOP_DisastrousCascade,1563,,,,,,,,,,,,
1615,Bullet for gun Projectile_Offhand,1564,,,,,,,,,,,,
1616,DBUF_HE_Int&Will_Body,1565,1566,,,,,,,,,,,
1617,DeBUFF_HE_Strength,1567,,,,,,,,,,,,
1618,DeBUFF_HE_FIG_Toughness,1568,,,,,,,,,,,,
1619,DeBUFF_HE_Balistic,1569,,,,,,,,,,,,
1620,BUFF_HE_Int&Will_Body,1570,1571,,,,,,,,,,,
1621,BUFF_HE_Strength,1572,,,,,,,,,,,,
1622,BUFF_HE_FIG_Toughness,1573,,,,,,,,,,,,
1623,BUFF_HE_Balistic,1574,,,,,,,,,,,,
1624,BUFF_HE_ParryIncrease,1575,,,,,,,,,,,,
1625,DeBUFF_HE_Spirit,1576,,,,,,,,,,,,
1626,HE_Enscorceled,1577,,,,,,,,,,,,
1627-1632,State Effects,,,,,,,,,,,,,
1633,MOR_AOE_EM_Amazement,1584,,,,,,,,,,,,
1634,ATK_DW_FallingRocks,1585,,,,,,,,,,,,
1635,BUFF_DW_AtkSpeed01,1586,,,,,,,,,,,,
1636,BUFF_DW_Defense,1587,,,,,,,,,,,,
1637,BUFF_DW_FIG_Toughness01,1588,,,,,,,,,,,,
;,1638,,,,,,,,,,,,,
1639,BUFF_DW_Strength01,1590,,,,,,,,,,,,
1640,BUFF_OathFriend,1591,,,,,,,,,,,,
1641,CAST_DW_GroundStomp,1592,912,,,,,,,,,,,
1642,CAST_DW_GroundStomp_Big,1593,913,,,,,,,,,,,
1643,DBUF_DW_Speed,1594,,,,,,,,,,,,
1644,DeBUF_DW_Initiative,1595,,,,,,,,,,,,
;,1645,,,,,,,,,,,,,
1646,IMPACT_DW_Blunt_01,1597,,,,,,,,,,,,
1647,IMPACT_DW_HeavyBlow,1598,,,,,,,,,,,,
1648,IMPACT_DW_Interrupt,1599,,,,,,,,,,,,
1649,IMPACT_DW_Knockback,1600,,,,,,,,,,,,
;,;Start Dreamhive Use (1650),,,,,,,,,,,,,
1650,Heavens - Celestial Build,1652,1651,,,,,,,,,,,
1651,Heavens - Lightning Build,1656,,,,,,,,,,,,
1652,Heavens - Portent of Far Hit,1668,1665,,,,,,,,,,,
1653,Heavens - Second Sign of Amul Hit,1668,1664,,,,,,,,,,,
1654,Heavens - Celestial Shield Hit,1668,1663,,,,,,,,,,,
1655,Heavens - Forked Lightning Beam,1653,,,,,,,,,,,,
1656,Heavens - Lightning Hit,1654,,,,,,,,,,,,
1657,Heavens - Uranons Thunderbolt Center,1662,1667,,,,,,,,,,,
1658,Heavens - Uranons Thunderbolt AoE,1661,1667,,,,,,,,,,,
1659,Heavens - Comet of Casandora Center,1658,1657,,,,,,,,,,,
1660,Heavens - Comet of Casandora Hit,1660,,,,,,,,,,,,
1661,Death - ACTIVATE_MOB_DoomAndDarkness,1671,,,,,,,,,,,,
1662,Death - BUILD_MOB_AoEDeath,1672,,,,,,,,,,,,
1663,Death - BUILD_MOB_Death,1673,,,,,,,,,,,,
1664,Death - CAST_MOB_Death,1674,,,,,,,,,,,,
1665,Death - CAST_MOB_DrainLife,1675,,,,,,,,,,,,
1666,Death - CAST_MOB_SoulProjectile,1676,,,,,,,,,,,,
1667,Death - CAST_MOB_WindOfDeath,1677,,,,,,,,,,,,
1668,Death - IMPACT_MOB_DoomAndDarkness,1678,,,,,,,,,,,,
1669,Death - IMPACT_MOB_DrainLife2,1679,,,,,,,,,,,,
1670,Death - IMPACT_MOB_DrainLife,1680,,,,,,,,,,,,
1671,Death - IMPACT_MOB_DrkHandofdeath,1681,,,,,,,,,,,,
1672,Death - IMPACT_MOB_StealSoul2,1682,,,,,,,,,,,,
1673,Death - IMPACT_MOB_StealSoul,1683,,,,,,,,,,,,
1674,Death - IMPACT_MOB_WindOfDeath,1684,,,,,,,,,,,,
1675,Death - PROJECTILE_MOB_WindOfDeath,1685,,,,,,,,,,,,
1676,Heavens - Forked Lightning Beam (Louder),1686,,,,,,,,,,,,
1677,Heavens - Forked Lightning Build (Louder),1655,,,,,,,,,,,,
1678,CAST_GhostlyHowl,1687,,,,,,,,,,,,
1679,IMPACT_GhostlyHowl,1688,,,,,,,,,,,,
1680,ACTIVATE_EnrapturingSpasms,1689,,,,,,,,,,,,
1681,IMPACT_EnrapturingSpasms,1690,,,,,,,,,,,,
1682,IMPACT_EnrapturingSpasms2,1691,,,,,,,,,,,,
1683,BUILD_HellishVigor,1692,,,,,,,,,,,,
1684,ACTIVATE_HellishVigor,1693,,,,,,,,,,,,
1685,IMPACT_HellishVigor,1694,,,,,,,,,,,,
1686,IMPACT_HellishVigor2,1695,,,,,,,,,,,,
1687,BUILD_MagnificentBuboes,1696,,,,,,,,,,,,
1688,ACTIVATE_MagnificentBuboes,1697,,,,,,,,,,,,
1689,IMPACT_MagnificentBuboes,1698,,,,,,,,,,,,
1690,ACTIVATE_PestilentBreath,1699,,,,,,,,,,,,
1691,IMPACT_PestilentBreath,1700,,,,,,,,,,,,
1692,BUILD_SeethingPlague,1701,,,,,,,,,,,,
1693,ACTIVATE_SeethingPlague,1702,,,,,,,,,,,,
1694,IMPACT_SeethingPlague,1703,,,,,,,,,,,,
1695,PROJECTILE_GhostlyHowl,1704,,,,,,,,,,,,
1696,CAST_EM_helblaster,1705,913,,,,,,,,,,,
1697,CAST_siege_Hellcannon,1706,914,,,,,,,,,,,
1698,PROJ_siege_Hellcannon,1707,,,,,,,,,,,,
1699,CAST_siege_Organgun,1708,,,,,,,,,,,,
1700,Impact_siege_RAM,1709,913,,,,,,,,,,,
1701,CAST_siege_BoilingOil,1710,,,,,,,,,,,,
1702,Impact_siege_BoilingOil,1711,,,,,,,,,,,,
1703,Comet of Sigmar,1720,,,,,,,,,,,,
1704,SCN_GriffonWingBuffet,1713,,,,,,,,,,,,
1705,SCN_GriffonScream_Voicecone,1714,1715,,,,,,,,,,,
1706,LOOP_Franz_Snare,1716,,,,,,,,,,,,
1707,LOOP_Franz_Root,1717,,,,,,,,,,,,
1708,AOE_EM_Blastring,1718,,,,,,,,,,,,
1709,CAST_HolyNova,1719,,,,,,,,,,,,
1710,Build_Comet_Sigmar,1721,,,,,,,,,,,,
1711,BUFF_EM_AuraSigmar,1722,1724,1726,,,,,,,,,,
1712,statuebreak01 ,1723,,,,,,,,,,,,
1713,AOE_Scale_Franz,1724,1722,,,,,,,,,,,
1714,CONE_SunFireBreath,1725,,,,,,,,,,,,
1715,BLD_SCN_Stone1,1727,,,,,,,,,,,,
1716,SCN_OrbWarpIn,1728,,,,,,,,,,,,
1717,SCN_FallingDarkOrb,1729,1728,,,,,,,,,,,
1718,AOE_SCN_LargeFlash,1730,,,,,,,,,,,,
1719,ORB_Tchar_Fire01,1731,1728,,,,,,,,,,,
1720,ORB_Tchar_Fire01_Impact,1732,,,,,,,,,,,,
1721,AOE_BOSS_TornadoFire,1733,,,,,,,,,,,,
1722,AOE_BOSS_TornadoWind,1734,,,,,,,,,,,,w
1723,AOE_BOSS_TornadoWater,1735,,,,,,,,,,,,
1724,CTF_OrderFlag,1736,,,,,,,,,,,,
1725,CTF_DestroFlag,1737,,,,,,,,,,,,
1726,GEN_BannerCarry,1738,1744,,,,,,,,,,,
1727,GEN_BannerKnockback,1739,,,,,,,,,,,,
1728,GEN_BannerPlantDust,1740,,,,,,,,,,,,
1729,GEN_BannerPlantedPulse,1741,1743,,,,,,,,,,,
1730,GEN_BannerRally,1742,,,,,,,,,,,,
1731,PBAE_Cast_BOSS_Tchar_STUN,1745,1746,,,,,,,,,,,
1732,PBAE_BOSS_Tchar_STUN,1747,,,,,,,,,,,,
1733,BOSS_BUILD_FireTornado,1748,,,,,,,,,,,,
1734,BOSS_CAST_FireTornado,1749,,,,,,,,,,,,
1735,BOSS_BUILD_WaterTornado,1750,,,,,,,,,,,,
1736,BOSS_CAST_WaterTornado,1751,,,,,,,,,,,,
1737,BOSS_BUILD_WindTornado,1752,,,,,,,,,,,,
1738,BOSS_CAST_WindTornado,1753,,,,,,,,,,,,
1739,ch_city_meteor01_impact,1754,,,,,,,,,,,,
1740,PBAE_Impact_BOSS_Tchar_STUN,1755,,,,,,,,,,,,
1741,PBAE_Impact_BOSS_Tchar_ArchFate,1756,,,,,,,,,,,,
1742,CONE_BOSS_Tchar_ArchFate,1757,,,,,,,,,,,,
1743,BOSS_FIG_HealerDesire,1758,,,,,,,,,,,,
1744,BOSS_FIG_TankDesire,1759,,,,,,,,,,,,
1745,BOSS_FIG_DPSDesire,1760,,,,,,,,,,,,
1746,BOSS_AOE_Desires,1761,,,,,,,,,,,,
1747,BOSS_BUFF_DesireProtection,1762,,,,,,,,,,,,
1748,BOSS_SMN_Blue_Desires,1763,,,,,,,,,,,,
1749,BOSS_SMN_Purple_Desires,1764,,,,,,,,,,,,
1750,BOSS_SMN_Red_Desires,1765,,,,,,,,,,,,
1751,Impact_BOSS_Keeper_Knockup_Blunt,1766,,,,,,,,,,,,
1752,Impact_BOSS_Keeper_Knockup_Ground,1767,,,,,,,,,,,,
1753,Impact_BOSS_Keeper_Knockup,1768,,,,,,,,,,,,
1754,Impact_BOSS_Keeper_Devastating,1769,,,,,,,,,,,,
1755,Impact_BOSS_Keeper_Devastating_Ground,1770,,,,,,,,,,,,
1756,CONE_Impact_BOSS_Keeper_Cleave,1771,,,,,,,,,,,,
1757,CONE_BOSS_Keeper_Cleave,1772,,,,,,,,,,,,
1758,Cannon_GEN_Impact,1773,,,,,,,,,,,,
1759,Cannon_GEN_GroundImpact,1774,,,,,,,,,,,,
1760,Cannon_Cast_GEN_LowSmoke,1775,,,,,,,,,,,,
1761,AOE_BOSS_SteamTank_Steam,1776,1777,,,,,,,,,,,
1762,GEN_RVR_ZoneBuff,1778,,,,,,,,,,,,
1763,GEN_RVR_VictoryCry,1779,,,,,,,,,,,,
1764,BOSS_AOE_ElectricStun,1780,,,,,,,,,,,,
1765,PROJ_GEN_CannonBall (mouth),1781,,,,,,,,,,,,
1766,Cannon_Cast_GEN_grapeshot,1782,,,,,,,,,,,,
1767,BLD_BuildingSmoke,1783,912,,,,,,,,,,,
1768,SIEGE_TriplegroundImpacts,1784,,,,,,,,,,,,
1769,GEN_SIEGE_Destruction,1785,913,,,,,,,,,,,
1770,HE_SIEGE_RepeaterBoltImpact,1786,,,,,,,,,,,,
1771,DE_SIEGE_RepeaterBoltImpact,1787,,,,,,,,,,,,
1772,Dw_Organgun_Firing,1788,913,,,,,,,,,,,
1773,PROJ_tomato_spin,1789,,,,,,,,,,,,
1774,IMPACT_tomato_splat,1790,,,,,,,,,,,,
1775,SIEGE_QuadgroundImpacts,1791,913,,,,,,,,,,,
1776,vfx_CAST_mek_Hbthrower01,1792,,,,,,,,,,,,
1777,vfx_CAST_mek_Dbthrower01,1793,,,,,,,,,,,,
1778,SIEGE_TriplegroundImpacts_Goo,1794,913,,,,,,,,,,,
1779,BOSS_AOE_KeeperWells_01,1795,,,,,,,,,,,,
1780,BOSS_AOE_KeeperWells_02,1796,,,,,,,,,,,,
1781,BOSS_AOE_KeeperWells_03,1797,,,,,,,,,,,,
1782,PROJ_BlueFireball,1798,,,,,,,,,,,,
1783,CONE_BlueFireBreath,1799,,,,,,,,,,,,
1784,pyro_Fire_Big,1800,,,,,,,,,,,,
1785,pyro_Fire_Big_blue,1801,,,,,,,,,,,,
1786,BOSS_CH_SecretsSummon,1802,,,,,,,,,,,,
1787,BOSS_TankDesire,1803,,,,,,,,,,,,
1788,BOSS_HealerDesire,1804,,,,,,,,,,,,
1789,BOSS_DPSDesire,1805,,,,,,,,,,,,
1790,BOSS_CONE_KeeperCleave,1806,,,,,,,,,,,,
1791,BOSS_BUFF_ChannelHeal,1807,,,,,,,,,,,,
1792,BOSS_BUFF_ChannelSteal,1808,,,,,,,,,,,,
1793,BUFF_BOSS_DesireArmor,1809,,,,,,,,,,,,
1794,BUFF_BOSS_DesireWill,1810,,,,,,,,,,,,
1795,BUF_BOSS_DesireDamageAP,1811,,,,,,,,,,,,
1796,BOSS_PtoP_LifeTap_Red,1812,,,,,,,,,,,,
1797,BOSS_PtoP_LifeTap_Blue,1813,,,,,,,,,,,,
1798,Buff_Siege_Faultfinder,1814,,,,,,,,,,,,
1799,Buff_Siege_PickLock,1815,,,,,,,,,,,,
1800,Buff_Siege_Bypass,1816,,,,,,,,,,,,
1801,Impact_Siege_BoobyTrap,1817,,,,,,,,,,,,
1802,PROJ_Siege_BoobyTrap,1818,,,,,,,,,,,,
1803,Impact_Siege_Wrecker,1819,,,,,,,,,,,,
1804,PROJ_Siege_Wrecker,1820,,,,,,,,,,,,
1805,BUFF_Siege_Bulwark,1821,,,,,,,,,,,,
1806,BUFF_Siege_Modify,1822,,,,,,,,,,,,
1807,BUFF_Siege_Deflect_LOOP,1823,,,,,,,,,,,,
1808,BUFF_Siege_Deflect,1824,,,,,,,,,,,,
1809,BUFF_Siege_Shiled,1825,,,,,,,,,,,,
1810,BUFF_Siege_Shiled_loop,1826,,,,,,,,,,,,
1811,BUFF_Siege_Enhance,1827,,,,,,,,,,,,
1812,BUFF_Siege_Cleanse,1828,,,,,,,,,,,,
1813,DeBUFF_Siege_Diminish,1829,,,,,,,,,,,,
1814,BUFF_Siege_Bolster,1830,,,,,,,,,,,,
1815,DeBUFF_Siege_Hamper,1831,,,,,,,,,,,,
1816,DeBUFF_Siege_Hex,1832,,,,,,,,,,,,
1817,DeBUFF_Siege_Abate,1833,,,,,,,,,,,,
1818,BOSS_AOE_NaturesWrath,1834,,,,,,,,,,,,
1819,BOSS_BUFF_NaturesBite,1835,,,,,,,,,,,,
1820,BOSS_BUFF_TMChannelHeal,1836,,,,,,,,,,,,
1821,BOSS_AOE_NaturesGrasp,1837,,,,,,,,,,,,
1822,BOSS_PtoP_Treemanbeam1,1838,,,,,,,,,,,,
1823,BOSS_PtoP_Treemanbeam2,1839,1838,,,,,,,,,,,
1824,BOSS_FIG_TMChannelAura,1840,,,,,,,,,,,,
1825,BOSS_BUFF_TMChannelAura,1841,,,,,,,,,,,,
1826,BOSS_ATK_TreemanCleave,1842,,,,,,,,,,,,
1827,BOSS_IMPACT_TreemanCleave,1843,,,,,,,,,,,,
1828,CAST_CH_Miasma_Corrupt,1844,,,,,,,,,,,,
1829,CAST_CH_AOE_Corrupt,1845,,,,,,,,,,,,
1830,CAST_CH_Miasma_Discord,1846,,,,,,,,,,,,
1831,CAST_CH_AOE_Discord,1847,,,,,,,,,,,,
1832,CAST_CH_Miasma_Dread,1848,,,,,,,,,,,,
1833,CAST_CH_AOE_Dread,1849,,,,,,,,,,,,
1834,TEST_OrientationBox,1850,1851,1852,1867,,,,,,,,,
1835,BOSS_BUFF_EssenceGather,1853,,,,,,,,,,,,
1836,BOSS_PROJ_EssenceBolt,1854,,,,,,,,,,,,
1837,BOSS_ROOT_WebbingFireOut,1855,,,,,,,,,,,,
1838,BOSS_ATK_WebbingShot,1856,,,,,,,,,,,,
1839,MNST_AOE_ExplodingExtasy,1857,,,,,,,,,,,,
1840,MNST_AOE_LoveMusk,1858,,,,,,,,,,,,
1841,MNST_IMPACT_LoveMusk,1859,,,,,,,,,,,,
1842,MNST_BUFF_SplittingPain,1860,,,,,,,,,,,,
1843,MNST_LINE_DaemonetteScream,1861,,,,,,,,,,,,
1844,MNST_IMPACT_PoisonGoop,1862,,,,,,,,,,,,
1845,MNST_PROJ_PoisonGlob2,1863,,,,,,,,,,,,
1846,STAT_Sleeping,1864,,,,,,,,,,,,
1847,MNST_SPEC_TentacleEruptSmoke,1865,,,,,,,,,,,,
1848,MNST_DOT_CageDamage,1866,,,,,,,,,,,,
1849,SCN_ObjectiveLight_Blue_RVR,1868,,,,,,,,,,,,
1850,BOSS_CONE_LoCCleave,1869,,,,,,,,,,,,
1851,BOSS_AOE_SeedofCorruption,1870,,,,,,,,,,,,
1852,BOSS_PROJ_SeedofCorruption,1871,,,,,,,,,,,,
1853,BOSS_IMPACT_SeedofCorruption,1872,,,,,,,,,,,,
1854,BOSS_ATK_LoCMelee,1873,,,,,,,,,,,,
1855,BOSS_AOE_LoCWhirlwind,1874,,,,,,,,,,,,
1856,BOSS_AOE_Fate,1875,,,,,,,,,,,,
1857,BOSS_DBUF_Fate,1876,,,,,,,,,,,,
1858,BOSS_BUFF_FIG_Positive,1877,,,,,,,,,,,,
1859,BOSS_BUFF_FIG_Negative,1878,,,,,,,,,,,,
1860,BOSS_AOE_FateExplode,1879,,,,,,,,,,,,
1861,NPC_CH_BankerHead,1881,,,,,,,,,,,,
1862,MNST_IMPACT_BranchScrape,1882,,,,,,,,,,,,
1863,MNST_CONE_SonicBlast,1883,,,,,,,,,,,,
1864,MNST_BUFF_Regrowth,1884,,,,,,,,,,,,
1865,MNST_IMPACT_Pincer,1885,,,,,,,,,,,,
1866,MNST_IMPACT_BitePoison,1886,,,,,,,,,,,,
1867,CrackedEarthwithShake,517,913,,,,,,,,,,,
1868,GEN_ATK_ClawDoubleDown,1887,,,,,,,,,,,,
1869,GEN_ATK_ClawSlashLtoR,1888,,,,,,,,,,,,
1870,GEN_ATK_ClawSlashRtoL,1889,,,,,,,,,,,,
1871,GEN_ATK_ClawSlashUP,1890,,,,,,,,,,,,
1872,GEN_BigImpactwithScreenshake,214,913,,,,,,,,,,,
1873,vfx_Impact_GEN_WindDD01,1891,,,,,,,,,,,,
1874,vfx_Impact_HE_LionClaw04,1892,,,,,,,,,,,,
1875,MNST_IMPACT_LaceratingTalons,1893,,,,,,,,,,,,
1876,MNST_IMPACT_InfectingSwipe,1894,,,,,,,,,,,,
1877,GEN_IMPACT_FoulVomit,1895,,,,,,,,,,,,
1878,GEN_CONE_FoulVomit,1896,,,,,,,,,,,,
1879,MNST_CAST_DiseasedBellow,1897,,,,,,,,,,,,
1880,MNST_ATK_LaceratingTalons,1898,,,,,,,,,,,,
1881,MNST_ATK_InfectingSwipe,1899,,,,,,,,,,,,
1882,MNST_AOE_Trample,1900,,,,,,,,,,,,
1883,MNST_AOE_DiseasedBellow,1901,,,,,,,,,,,,
1884,MNST_AOE_BoomingShriek,1902,,,,,,,,,,,,
1885,MNST_AOE_BoomingRoar,1903,,,,,,,,,,,,
1886,TEST_OrientationBox_2,1904,1905,1852,1867,,,,,,,,,
1887,BUFF_CH_Coporeal,1906,,,,,,,,,,,,
1888,MNST_AOE_PusEruption,1907,,,,,,,,,,,,
1889,BUFF_DW_Elemental,1908,,,,,,,,,,,,
1890,Aura_EM_Flare_Gold,1919,,,,,,,,,,,,
1891,Aura_EM_Flare_Red,1920,,,,,,,,,,,,
1892,Aura_EM_Flare_Blue,1921,,,,,,,,,,,,
1893,BUFF_DE_NoneShallPass,1922,,,,,,,,,,,,
1894,BUFF_DE_ForceofFury,1923,,,,,,,,,,,,
1895,BUFF_BladeEnchant_EliteTraining,1924,1954,,,,,,,,,,,
1896,Impact_EM_DamageShield,1925,,,,,,,,,,,,
;,;End Dreamhive Use (1896),,,,,,,,,,,,,
2001,IMPACT_DW_Medium,1601,,,,,,,,,,,,
2002,IMPACT_DW_Medium_2,1602,,,,,,,,,,,,
2003,IMPACT_DW_SmallHit,1603,,,,,,,,,,,,
2004,IMPACT_DW_SmallHit_2,1604,,,,,,,,,,,,
;,2005,,,,,,,,,,,,,
2006,MOR_BUFF_EM_Exoneration,1607,,,,,,,,,,,,
2007,MOR_Heal_EM_Penence,1608,,,,,,,,,,,,
2008,MOR_IMPACT_EM_Penence,1609,,,,,,,,,,,,
2009,MOR_Heal_EM_GiftofLife,1610,,,,,,,,,,,,
2010,MOR_CAST_EM_GiftofLife,1611,,,,,,,,,,,,
2011,MOR_BUFF_EM_AvatarofSigmar,1612,,,,,,,,,,,,
2012,MOR_CAST_EM_AvatarofSigmar,1613,,,,,,,,,,,,
2013,MOR_BUILD_EM_Amazement,1614,,,,,,,,,,,,
2014,MOR_IMPACT_EM_Amazement,1615,,,,,,,,,,,,
