Information,,NIF,Effect,Effect List
2716,NPC_EM_Axe_2H_02,NPC_EM_Axe_2H_02,,
2717,NPC_EM_Crossbow_01,NPC_EM_Crossbow_01,,
2718,NPC_EM_Crossbow_02,NPC_EM_Crossbow_02,,
2719,NPC_HE_Spear_02,NPC_HE_Spear_02,,
2720,NPC_HE_Spear_03,NPC_HE_Spear_03,,
2721,NPC_HE_Staff_01,NPC_HE_Staff_01,,
2722,NPC_HE_Staff_02,NPC_HE_Staff_02,,
2723,NPC_HE_Staff_03,NPC_HE_Staff_03,,
2724,TK_Axe_2H_01,TK_Axe_2H_01,,
2725,TK_Axe_2H_02,TK_Axe_2H_02,,
2726,TK_Axe_2H_03,TK_Axe_2H_03,,
2727,TK_Axe_2H_04,TK_Axe_2H_04,,
2728,TK_Axe_2H_05,TK_Axe_2H_05,,
2729,TK_Book_01,TK_Book_01,,
2730,TK_Bow_01,TK_Bow_01,,
2731,TK_Bow_02,TK_Bow_02,,
2732,TK_Chalice_01,TK_Chalice_01,,
2733,TK_Dagger_01,TK_Dagger_01,,
2734,TK_Dagger_02,TK_Dagger_02,,
2735,TK_Fetish_01,TK_Fetish_01,,
2736,TK_Hammer_2H_01,TK_Hammer_2H_01,,
2737,TK_Hammer_2H_02,TK_Hammer_2H_02,,
2738,TK_Hammer_2H_03,TK_Hammer_2H_03,,
2739,TK_Pistol_01,TK_Pistol_01,,
2740,TK_Rifle_01,TK_Rifle_01,,
2741,TK_Rifle_02,TK_Rifle_02,,
2742,TK_Staff_01,TK_Staff_01,,
2743,TK_Staff_02,TK_Staff_02,,
2744,TK_Staff_03,TK_Staff_03,,
2745,TK_Staff_04,TK_Staff_04,,
2746,TK_Staff_05,TK_Staff_05,,
2747,TK_Staff_06,TK_Staff_06,,
2748,TK_Sword_2H_01,TK_Sword_2H_01,,
2749,TK_Sword_2H_02,TK_Sword_2H_02,,
2750,TK_Sword_2H_03,TK_Sword_2H_03,,
2751,TK_Sword_2H_04,TK_Sword_2H_04,,
2752,WORLD OBJ qi_tk_armory_statue01,qi_tk_armory_statue01,,
2753,WORLD OBJ qi_tk_armory_statue01_collapse,qi_tk_armory_statue01_collapse,,
2754,WORLD OBJ qi_tk_EmbalmingWater01,qi_tk_EmbalmingWater01,,
2755,WORLD OBJ qi_tk_EmbalmingWater02,qi_tk_EmbalmingWater02,,
2756,WORLD OBJ qi_tk_tombKingChamber_column01,qi_tk_tombKingChamber_column01,,
2757,WORLD OBJ qi_tk_tombKingChamber_column01_destroyed,qi_tk_tombKingChamber_column01_destroyed,,
2758,WORLD OBJ qi_tk_body01,qi_tk_body01,,
2759,WORLD OBJ qi_tk_body02,qi_tk_body02,,
2760,WORLD OBJ qi_tk_body03,qi_tk_body03,,
2761,WORLD OBJ qi_tk_bossBattle_fallenCol01,qi_tk_bossBattle_fallenCol01,,
2762,WORLD OBJ vfx_tk_traproom_fire,vfx_tk_traproom_fire,,
2763,WORLD OBJ qi_tk_empoweringDevice01_down03,qi_tk_empoweringDevice01_down03,,
2764,WORLD OBJ qi_tk_boneBit_tower01_standing,qi_tk_boneBit_tower01_standing,,
2765,WORLD OBJ qi_tk_boneBit_tower01_falling,qi_tk_boneBit_tower01_falling,,
2766,NPC_TK_Axe_1H_01,NPC_TK_Axe_1H_01,,
2767,NPC_TK_Axe_2H_01,NPC_TK_Axe_2H_01,,
2768,NPC_TK_Axe_2H_02,NPC_TK_Axe_2H_02,,
2769,NPC_TK_Axe_2H_03,NPC_TK_Axe_2H_03,,
2770,NPC_TK_Bow_01,NPC_TK_Bow_01,,
2771,NPC_TK_Bow_02,NPC_TK_Bow_02,,
2772,NPC_TK_Bow_03,NPC_TK_Bow_03,,
2773,NPC_TK_Dagger_01,NPC_TK_Dagger_01,,
2774,NPC_TK_Dagger_02,NPC_TK_Dagger_02,,
2775,NPC_TK_Fetish_01,NPC_TK_Fetish_01,,
2776,NPC_TK_Fetish_02,NPC_TK_Fetish_02,,
2777,NPC_TK_Fetish_03,NPC_TK_Fetish_03,,
2778,NPC_TK_Halberd_01,NPC_TK_Halberd_01,,
2779,NPC_TK_Hammer_1H_01,NPC_TK_Hammer_1H_01,,
2780,NPC_TK_Hammer_1H_02,NPC_TK_Hammer_1H_02,,
2781,NPC_TK_Hammer_2H_01,NPC_TK_Hammer_2H_01,,
2782,NPC_TK_Shield_01,NPC_TK_Shield_01,,
2783,NPC_TK_Shield_02,NPC_TK_Shield_02,,
2784,NPC_TK_Shield_03,NPC_TK_Shield_03,,
2785,NPC_TK_Spear_01,NPC_TK_Spear_01,,
2786,NPC_TK_Spear_02,NPC_TK_Spear_02,,
2787,NPC_TK_Spear_03,NPC_TK_Spear_03,,
2788,NPC_TK_Spear_04,NPC_TK_Spear_04,,
2789,NPC_TK_Staff_01,NPC_TK_Staff_01,,
2790,NPC_TK_Staff_02,NPC_TK_Staff_02,,
2791,NPC_TK_Staff_03,NPC_TK_Staff_03,,
2792,NPC_TK_Staff_04,NPC_TK_Staff_04,,
2793,NPC_TK_Sword_1H_01,NPC_TK_Sword_1H_01,,
2794,NPC_TK_Sword_1H_02,NPC_TK_Sword_1H_02,,
2795,NPC_TK_Sword_2H_01,NPC_TK_Sword_2H_01,,
2796,TK_Axe_1H_02,TK_Axe_1H_02,,
2797,TK_Axe_1H_03,TK_Axe_1H_03,,
2798,TK_Axe_1H_06,TK_Axe_1H_06,,
2799,TK_Axe_1H_07,TK_Axe_1H_07,,
2800,TK_Hammer_1H_03,TK_Hammer_1H_03,,
2801,TK_Shield_01,TK_Shield_01,,
2802,TK_Shield_03,TK_Shield_03,,
2803,TK_Shield_04,TK_Shield_04,,
2804,TK_Sword_1H_03,TK_Sword_1H_03,,
2805,TK_Sword_1H_04,TK_Sword_1H_04,,
2806,TK_Sword_1H_07,TK_Sword_1H_07,,
2807,TK_Sword_1H_08,TK_Sword_1H_08,,
2808,WORLD OBJ qi_tk_mastaba01_curse_on,qi_tk_mastaba01_curse_on,,
2809,WORLD OBJ qi_tk_mastaba01_curse_off,qi_tk_mastaba01_curse_off,,
2810,WORLD OBJ qi_tk_mastaba_shrine01,qi_tk_mastaba_shrine01,,
2811,WORLD OBJ qi_tk_prop_mirror,qi_tk_prop_mirror,,
2812,WORLD OBJ Qi_TK_prop_box02_open_noGlow,Qi_TK_prop_box02_open_noGlow,,
2813,WORLD OBJ qi_tk_tomb01_open,qi_tk_tomb01_open,,
2814,WORLD OBJ qi_tk_tomb01_close,qi_tk_tomb01_close,,
2815,WORLD OBJ qi_tk_tomb01,qi_tk_tomb01,,
2816,WORLD OBJ qi_tk_reliquary01_open,qi_tk_reliquary01_open,,
2817,WORLD OBJ qi_tk_reliquary01_closed,qi_tk_reliquary01_closed,,
2818,WORLD OBJ qi_tk_switch01,qi_tk_switch01,,
2819,WORLD OBJ qi_tk_switch03,qi_tk_switch03,,
2820,WORLD OBJ qi_tk_switch02,qi_tk_switch02,,
2821,WORLD OBJ qi_tk_library_scroll01,qi_tk_library_scroll01,,
2822,WORLD OBJ qi_tk_library_scroll01_pedestal,qi_tk_library_scroll01_pedestal,,
2823,WORLD OBJ qi_tk_library_scroll02,qi_tk_library_scroll02,,
2824,WORLD OBJ qi_tk_library_scroll02_pedestal,qi_tk_library_scroll02_pedestal,,
2825,WORLD OBJ qi_tk_library_scroll03,qi_tk_library_scroll03,,
2826,WORLD OBJ qi_tk_library_scroll03_pedestal,qi_tk_library_scroll03_pedestal,,
2827,WORLD OBJ qi_tk_library_scroll_pedestal_empty,qi_tk_library_scroll_pedestal_empty,,
2828,WORLD OBJ qi_tk_library_tome01,qi_tk_library_tome01,,
2829,WORLD OBJ qi_tk_library_tome01_pedestal,qi_tk_library_tome01_pedestal,,
2830,WORLD OBJ qi_tk_library_tome02,qi_tk_library_tome02,,
2831,WORLD OBJ qi_tk_library_tome02_pedestal,qi_tk_library_tome02_pedestal,,
2832,WORLD OBJ qi_tk_library_tome03,qi_tk_library_tome03,,
2833,WORLD OBJ qi_tk_library_tome03_pedestal,qi_tk_library_tome03_pedestal,,
2834,WORLD OBJ qi_tk_library_tome_pedestal_empty,qi_tk_library_tome_pedestal_empty,,
2835,WORLD OBJ qi_tk_or_airship_01,qi_tk_or_airship_01,,
2836,WORLD OBJ qi_tk_or_airship_02,qi_tk_or_airship_02,,
2837,WORLD OBJ qi_or_wyvern_egg02,qi_or_wyvern_egg02,,
2838,WORLD OBJ qi_tk_library_portal_01,qi_tk_library_portal_01,,
2839,WORLD OBJ qi_tk_library_portal_02,qi_tk_library_portal_02,,
2840,WORLD OBJ go_prop_anvil,go_prop_anvil,,
2841,WORLD OBJ qi_tk_reanimation_barrier01,qi_tk_reanimation_barrier01,,
2842,WORLD OBJ qi_tk_reanimation_barrier01_fadeIn,qi_tk_reanimation_barrier01_fadeIn,,
2843,WORLD OBJ qi_tk_bonePile01,qi_tk_bonePile01,,
2844,WORLD OBJ qi_tk_trinket01,qi_tk_trinket01,,
2845,WORLD OBJ qi_tk_judgement_obelisk01,qi_tk_judgement_obelisk01,,
2846,WORLD OBJ qi_tk_judgement_obelisk02,qi_tk_judgement_obelisk02,,
2847,WORLD OBJ qi_tk_judgement_obelisk03,qi_tk_judgement_obelisk03,,
2848,WORLD OBJ qi_tk_judgement_obelisk04,qi_tk_judgement_obelisk04,,
2849,WORLD OBJ qi_tk_prop_crate03,qi_tk_prop_crate03,,
2850,WORLD OBJ qi_tk_prop_crate03_open,qi_tk_prop_crate03_open,,
2851,WORLD OBJ qi_tk_prop_crate03_close,qi_tk_prop_crate03_close,,
2852,WORLD OBJ qi_tk_prop_crate03_open_noGlow,qi_tk_prop_crate03_open_noGlow,,
2853,WORLD OBJ qi_tk_prop_crate03_close_noGlow,qi_tk_prop_crate03_close_noGlow,,
2854,WORLD OBJ or_airship_crashed01,or_airship_crashed01,,
2855,WORLD OBJ or_airship_crashed02,or_airship_crashed02,,
2856,WORLD OBJ or_airship_crashed03,or_airship_crashed03,,
2857,WORLD OBJ qi_tk_tomb01_vertical,qi_tk_tomb01_vertical,,
2858,WORLD OBJ qi_tk_tomb01_vertical_open,qi_tk_tomb01_vertical_open,,
2859,WORLD OBJ qi_tk_sandPit_floorCollapse,qi_tk_sandPit_floorCollapse,,
2860,NPC_TK_Body_01,NPC_TK_Body_01,,
2861,NPC_TK_Body_02,NPC_TK_Body_02,,
2862,NPC_TK_Body_03,NPC_TK_Body_03,,
2863,CH_Disk_Manticore_01,CH_Disk_Manticore_01,,
2864,WORLD OBJ qi_or_airship01_loop01,qi_or_airship01_loop01,,
2865,WORLD OBJ qi_or_airship01_explode01,qi_or_airship01_explode01,,
2866,WORLD OBJ qi_dw_airship01_loop01,qi_dw_airship01_loop01,,
2867,WORLD OBJ qi_dw_airship01_explode01,qi_dw_airship01_explode01,,
2868,WORLD OBJ qi_tk_prop_treasury_01,qi_tk_prop_treasury_01,,
2869,WORLD OBJ qi_tk_prop_treasury_02,qi_tk_prop_treasury_02,,
2870,WORLD OBJ qi_tk_prop_treasury_03,qi_tk_prop_treasury_03,,
2871,WORLD OBJ qi_tk_prop_treasury_04,qi_tk_prop_treasury_04,,
2872,WORLD OBJ qi_tk_statueBoss_skirtCollapse,qi_tk_statueBoss_skirtCollapse,,
2873,WORLD OBJ qi_tk_statueBoss_collapse01,qi_tk_statueBoss_collapse01,,
2874,WORLD OBJ qi_dw_barrel_of_water01,qi_dw_barrel_of_water01,,
2875,WORLD OBJ qi_tk_statueBoss_skirtCollapsed,qi_tk_statueBoss_skirtCollapsed,,
2876,WORLD OBJ qi_tk_lair_room02_fog_Low,qi_tk_lair_room02_fog_Low,,
2877,WORLD OBJ qi_tk_lair_room02_fog_Mid,qi_tk_lair_room02_fog_Mid,,
2878,WORLD OBJ qi_tk_lair_room02_fog_Hi,qi_tk_lair_room02_fog_Hi,,
2879,WORLD OBJ qi_tk_riverboat_01,qi_tk_riverboat_01,,
2880,WORLD OBJ qi_tk_riverboat_02,qi_tk_riverboat_02,,
2881,WORLD OBJ qi_dw_airship_fuel_pump_valve01,qi_dw_airship_fuel_pump_valve01,,
2882,WORLD OBJ dw_airship_fuel_pump_platform01,dw_airship_fuel_pump_platform01,,
2883,WORLD OBJ qi_dw_airship_mooring_01,qi_dw_airship_mooring_01,,
2884,WORLD OBJ qi_dw_airship_fuel_pump_Tank01,qi_dw_airship_fuel_pump_Tank01,,
2885,WORLD OBJ qi_tk_barrier_mastaba_on,qi_tk_barrier_mastaba_on,,
2886,WORLD OBJ qi_tk_barrier_mastaba_off,qi_tk_barrier_mastaba_off,,
2887,WORLD OBJ qi_tk_tile01_symbol,qi_tk_tile01_symbol,,
2888,WORLD OBJ qi_tk_tile01_glowing,qi_tk_tile01_glowing,,
2889,WORLD OBJ qi_tk_tile01_glowingintensely,qi_tk_tile01_glowingintensely,,
2890,WORLD OBJ qi_tk_tile02_symbol,qi_tk_tile02_symbol,,
2891,WORLD OBJ qi_tk_tile02_glowing,qi_tk_tile02_glowing,,
2892,WORLD OBJ qi_tk_tile02_glowingintensely,qi_tk_tile02_glowingintensely,,
2893,WORLD OBJ qi_tk_tile03_symbol,qi_tk_tile03_symbol,,
2894,WORLD OBJ qi_tk_tile03_glowing,qi_tk_tile03_glowing,,
2895,WORLD OBJ qi_tk_tile03_glowingintensely,qi_tk_tile03_glowingintensely,,
2896,WORLD OBJ qi_tk_tile04_symbol,qi_tk_tile04_symbol,,
2897,WORLD OBJ qi_tk_tile04_glowing,qi_tk_tile04_glowing,,
2898,WORLD OBJ qi_tk_tile04_glowingintensely,qi_tk_tile04_glowingintensely,,
2899,WORLD OBJ qi_tk_tile05_symbol,qi_tk_tile05_symbol,,
2900,WORLD OBJ qi_tk_tile05_glowing,qi_tk_tile05_glowing,,
2901,WORLD OBJ qi_tk_tile05_glowingintensely,qi_tk_tile05_glowingintensely,,
2902,WORLD OBJ qi_tk_tile06_symbol,qi_tk_tile06_symbol,,
2903,WORLD OBJ qi_tk_tile06_glowing,qi_tk_tile06_glowing,,
2904,WORLD OBJ qi_tk_tile06_glowingintensely,qi_tk_tile06_glowingintensely,,
2905,WORLD OBJ qi_tk_tile07_symbol,qi_tk_tile07_symbol,,
2906,WORLD OBJ qi_tk_tile07_glowing,qi_tk_tile07_glowing,,
2907,WORLD OBJ qi_tk_tile07_glowingintensely,qi_tk_tile07_glowingintensely,,
2908,WORLD OBJ qi_tk_tile08_symbol,qi_tk_tile08_symbol,,
2909,WORLD OBJ qi_tk_tile08_glowing,qi_tk_tile08_glowing,,
2910,WORLD OBJ qi_tk_tile08_glowingintensely,qi_tk_tile08_glowingintensely,,
2911,WORLD OBJ dw_warehouse_boxes01,dw_warehouse_boxes01,,
2912,WORLD OBJ dw_warehouse_boxes03,dw_warehouse_boxes03,,
2913,WORLD OBJ dw_warehouse_boxes05,dw_warehouse_boxes05,,
2914,WORLD OBJ qi_tk_ancient_guardian_base01_inactive,qi_tk_ancient_guardian_base01_inactive,,
2915,WORLD OBJ qi_tk_ancient_guardian_base01_active,qi_tk_ancient_guardian_base01_active,,
2916,TK_Bow_03,TK_Bow_03,,
2917,TK_Halberd_01,TK_Halberd_01,,
2918,TK_Spear_01,TK_Spear_01,,
2919,NPC_TK_Spear_01_small,NPC_TK_Spear_01_small,,
2920,TK_Bow_01_small,TK_Bow_01_small,,
2921,TK_Bow_02_small,TK_Bow_02_small,,
2922,TK_Bow_03_small,TK_Bow_03_small,,
2923,TK_Spear_01_small,TK_Spear_01_small,,
2924,TK_Staff_01_small,TK_Staff_01_small,,
2925,TK_Staff_02_small,TK_Staff_02_small,,
2926,TK_Staff_05_small,TK_Staff_05_small,,
2927,WORLD OBJ qi_tk_asp_pulse01,qi_tk_asp_pulse01,,
2928,WORLD OBJ qi_tk_statue02_eyes_01,qi_tk_statue02_eyes_01,,
2929,WORLD OBJ qi_tk_statue02_eyes_02,qi_tk_statue02_eyes_02,,
2930,NPC_TK_Sword_1H_GGuardian_01,NPC_TK_Sword_1H_GGuardian_01,,
2931,NPC_TK_Sword_2H_KingAmen_01,NPC_TK_Sword_2H_KingAmen_01,,
2932,TK_Book_02,TK_Book_02,,
2933,TK_Book_03,TK_Book_03,,
2934,TK_Chalice_02,TK_Chalice_02,,
2935,TK_Chalice_03,TK_Chalice_03,,
2936,TK_Halberd_02,TK_Halberd_02,,
2937,TK_Pistol_02,TK_Pistol_02,,
2938,TK_Pistol_03,TK_Pistol_03,,
2939,TK_Rifle_03,TK_Rifle_03,,
2940,TK_Spear_02,TK_Spear_02,,
2941,TK_Spear_02_small,TK_Spear_02_small,,
2942,WORLD OBJ qi_tk_asp_pulse02,qi_tk_asp_pulse02,,
2943,WORLD OBJ qi_tk_asp_pulse03,qi_tk_asp_pulse03,,
2944,WORLD OBJ qi_tk_asp_pulse04,qi_tk_asp_pulse04,,
2945,WORLD OBJ qi_tk_asp_pulse05,qi_tk_asp_pulse05,,
2946,WORLD OBJ qi_tk_tile01_H_Symbol,qi_tk_tile01_H_Symbol,,
2947,WORLD OBJ qi_tk_tile01_H_glowingintensely,qi_tk_tile01_H_glowingintensely,,
2948,WORLD OBJ qi_tk_tile02_H_Symbol,qi_tk_tile02_H_Symbol,,
2949,WORLD OBJ qi_tk_tile02_H_glowingintensely,qi_tk_tile02_H_glowingintensely,,
2950,WORLD OBJ qi_tk_tile03_H_Symbol,qi_tk_tile03_H_Symbol,,
2951,WORLD OBJ qi_tk_tile03_H_glowingintensely,qi_tk_tile03_H_glowingintensely,,
2952,WORLD OBJ qi_tk_tile04_H_Symbol,qi_tk_tile04_H_Symbol,,
2953,WORLD OBJ qi_tk_tile04_H_glowingintensely,qi_tk_tile04_H_glowingintensely,,
2954,WORLD OBJ qi_tk_tile05_H_Symbol,qi_tk_tile05_H_Symbol,,
2955,WORLD OBJ qi_tk_tile05_H_glowingintensely,qi_tk_tile05_H_glowingintensely,,
2956,WORLD OBJ qi_tk_tile06_H_Symbol,qi_tk_tile06_H_Symbol,,
2957,WORLD OBJ qi_tk_tile06_H_glowingintensely,qi_tk_tile06_H_glowingintensely,,
2958,WORLD OBJ qi_tk_tile07_H_Symbol,qi_tk_tile07_H_Symbol,,
2959,WORLD OBJ qi_tk_tile07_H_glowingintensely,qi_tk_tile07_H_glowingintensely,,
2960,WORLD OBJ qi_tk_tile08_H_Symbol,qi_tk_tile08_H_Symbol,,
2961,WORLD OBJ qi_tk_tile08_H_glowingintensely,qi_tk_tile08_H_glowingintensely,,
2962,WORLD OBJ qi_tk_body01_floating01,qi_tk_body01_floating01,,
2963,WORLD OBJ qi_tk_body02_floating01,qi_tk_body02_floating01,,
2964,WORLD OBJ qi_tk_body03_floating01,qi_tk_body03_floating01,,
2965,WORLD OBJ qi_tk_body04,qi_tk_body04,,
2966,WORLD OBJ qi_tk_body05,qi_tk_body05,,
2967,WORLD OBJ qi_tk_body06,qi_tk_body06,,
2968,WORLD OBJ qi_tk_rune_plaque01_inactive,qi_tk_rune_plaque01_inactive,,
2969,WORLD OBJ qi_tk_rune_plaque01_active,qi_tk_rune_plaque01_active,,
2970,WORLD OBJ qi_tk_rune_plaque02_inactive,qi_tk_rune_plaque02_inactive,,
2971,WORLD OBJ qi_tk_rune_plaque02_active,qi_tk_rune_plaque02_active,,
2972,WORLD OBJ qi_tk_rune_plaque03_inactive,qi_tk_rune_plaque03_inactive,,
2973,WORLD OBJ qi_tk_rune_plaque03_active,qi_tk_rune_plaque03_active,,
2974,WORLD OBJ qi_tk_rune_plaque04_inactive,qi_tk_rune_plaque04_inactive,,
2975,WORLD OBJ qi_tk_rune_plaque04_active,qi_tk_rune_plaque04_active,,
2976,WORLD OBJ qi_dw_airship02_KFM,qi_dw_airship02_KFM,,
2977,WORLD OBJ qi_or_airship02_KFM,qi_or_airship02_KFM,,
2978,WORLD OBJ qi_or_airship01_flightmaster,qi_or_airship01_flightmaster,,
2979,WORLD OBJ qi_tk_treasury_shelf01,qi_tk_treasury_shelf01,,
2980,WORLD OBJ qi_tk_pq_chest_01,qi_tk_pq_chest_01,,
2981,WORLD OBJ qi_tk_prop_phylactery,qi_tk_prop_phylactery,,
2982,WORLD OBJ qi_tk_prop_phylactery_destroyed,qi_tk_prop_phylactery_destroyed,,
2983,WORLD OBJ qi_tk_bonePile02,qi_tk_bonePile02,,
2984,WORLD OBJ qi_tk_library_pedestal_empty,qi_tk_library_pedestal_empty,,
2985,WORLD OBJ qi_tk_hierophant_sarcophagus,qi_tk_hierophant_sarcophagus,,
2986,WORLD OBJ qi_dw_airship_fuel_pump_Tank01_explode,qi_dw_airship_fuel_pump_Tank01_explode,,
2987,WORLD OBJ qi_tk_armory_statue01_destroyed,qi_tk_armory_statue01_destroyed,,
2988,WORLD OBJ qi_tk_armory_statue02,qi_tk_armory_statue02,,
2989,WORLD OBJ qi_tk_armory_statue02_collapse,qi_tk_armory_statue02_collapse,,
2990,WORLD OBJ qi_library_books01,qi_library_books01,,
2991,WORLD OBJ qi_library_books01_burning,qi_library_books01_burning,,
2992,WORLD OBJ qi_dw_airship01_flightmaster,qi_dw_airship01_flightmaster,,
2993,WORLD OBJ qi_tk_tile_embalmingroom_KFM,qi_tk_tile_embalmingroom_KFM,,
2994,WORLD OBJ qi_tk_tkboss_ceilingCollapse01_falls,qi_tk_tkboss_ceilingCollapse01_falls,,
2995,WORLD OBJ qi_tk_tkboss_ceilingCollapse01_cracks,qi_tk_tkboss_ceilingCollapse01_cracks,,
2996,WORLD OBJ qi_tk_tkboss_ceilingCollapse01_rests,qi_tk_tkboss_ceilingCollapse01_rests,,
2997,WORLD OBJ qi_tk_armory_statue03,qi_tk_armory_statue03,,
2998,WORLD OBJ qi_tk_armory_statue03_collapse,qi_tk_armory_statue03_collapse,,
2999,WORLD OBJ qi_tk_statueBoss_neckCol02,qi_tk_statueBoss_neckCol02,,
3000,CH_Disk_Hvy_01,CH_Disk_Hvy_01,,
3001,CH_Disk_Hvy_02,CH_Disk_Hvy_02,,
3002,CH_Disk_Hvy_03,CH_Disk_Hvy_03,,
3003,CH_Disk_Hvy_04,CH_Disk_Hvy_04,,
3004,CH_Disk_Hvy_05,CH_Disk_Hvy_05,,
3005,CH_Disk_Hvy_06,CH_Disk_Hvy_06,,
3006,WORLD OBJ qi_he_hv_tree_bridge01_Standing,qi_he_hv_tree_bridge01_Standing,,
3007,WORLD OBJ qi_he_hv_tree_bridge01_Falling,qi_he_hv_tree_bridge01_Falling,,
3008,WORLD OBJ qi_he_hv_VineGate01,qi_he_hv_VineGate01,,
3009,,,,
3010,DE_Dagger_T2_04,DE_Dagger_T2_04,,
3011,DE_Dagger_T4_04,DE_Dagger_T4_04,,
3012,DE_Dagger_T4_05,DE_Dagger_T4_05,,
3013,DE_Dagger_T5_01,DE_Dagger_T5_01,,
3014,DE_Dagger_T5_02,DE_Dagger_T5_02,,
3015,DE_Dagger_T5_03,DE_Dagger_T5_03,,
3016,DE_Dagger_T5_04,DE_Dagger_T5_04,,
3017,DE_Dagger_T5_05,DE_Dagger_T5_05,,
3018,,,,
3019,,,,
3020,,,,
3021,GS_Choppa_1H_T5_05,GS_Choppa_1H_T5_05,,
3022,GS_Choppa_1H_T5_01,GS_Choppa_1H_T5_01,,
3023,GS_Choppa_1H_T5_02,GS_Choppa_1H_T5_02,,
3024,GS_Choppa_1H_T5_03,GS_Choppa_1H_T5_03,,
3025,GS_Choppa_1H_T5_04,GS_Choppa_1H_T5_04,,
3026,WORLD OBJ de_city_mailbox,de_city_mailbox,,
3027,WORLD OBJ dw_city_mailbox,dw_city_mailbox,,
3028,WORLD OBJ he_city_mailbox,he_city_mailbox,,
3029,WORLD OBJ or_city_mailbox,or_city_mailbox,,
3030,NPC_KurnousSpear_01,NPC_KurnousSpear_01,,
3031,WORLD OBJ qi_he_hv_VineGate02,qi_he_hv_VineGate02,,
3032,WORLD OBJ qi_or_airship01_tieDown01,qi_or_airship01_tieDown01,,
3033,WORLD OBJ qi_he_hv_boss_gate01,qi_he_hv_boss_gate01,,
3034,WORLD OBJ qi_he_hv_runeglow_ground01,qi_he_hv_runeglow_ground01,,
3035,WORLD OBJ qi_he_hv_runeglow_ground02,qi_he_hv_runeglow_ground02,,
3036,WORLD OBJ qi_he_hv_runeglow_ground03,qi_he_hv_runeglow_ground03,,
3037,WORLD OBJ qi_he_hv_runeglow_ground04,qi_he_hv_runeglow_ground04,,
3038,WORLD OBJ qi_he_hv_runeglow_ground05,qi_he_hv_runeglow_ground05,,
3039,WORLD OBJ qi_he_hv_runeglow_ground06,qi_he_hv_runeglow_ground06,,
3040,WORLD OBJ qi_he_hv_runeglow_stone01,qi_he_hv_runeglow_stone01,,
3041,WORLD OBJ qi_he_hv_runeglow_stone02,qi_he_hv_runeglow_stone02,,
3042,WORLD OBJ qi_he_hv_runeglow_stone03,qi_he_hv_runeglow_stone03,,
3043,WORLD OBJ qi_he_hv_runeglow_stone04,qi_he_hv_runeglow_stone04,,
3044,WORLD OBJ qi_he_hv_runeglow_stone05,qi_he_hv_runeglow_stone05,,
3045,WORLD OBJ qi_he_hv_runeglow_stone06,qi_he_hv_runeglow_stone06,,
3046,CH_Axe_1H_T5_01,CH_Axe_1H_T5_01,,
3047,CH_Axe_1H_T5_02,CH_Axe_1H_T5_02,,
3048,CH_Axe_1H_T5_03,CH_Axe_1H_T5_03,,
3049,CH_Axe_1H_TE_04,CH_Axe_1H_TE_04,,
3050,CH_Axe_2H_T5_01,CH_Axe_2H_T5_01,,
3051,CH_Axe_2H_T5_02,CH_Axe_2H_T5_02,,
3052,CH_Dagger_T5_01,CH_Dagger_T5_01,,
3053,CH_Dagger_T5_02,CH_Dagger_T5_02,,
3054,CH_Dagger_T5_03,CH_Dagger_T5_03,,
3055,CH_Fetish_T5_01,CH_Fetish_T5_01,,
3056,CH_Fetish_T5_02,CH_Fetish_T5_02,,
3057,CH_Fetish_T5_03,CH_Fetish_T5_03,,
3058,CH_Fetish_T5_04,CH_Fetish_T5_04,,
3059,CH_Fetish_T5_05,CH_Fetish_T5_05,,
3060,CH_Fetish_TE_03,CH_Fetish_TE_03,,2561
3061,CH_Mace_1H_T5_01,CH_Mace_1H_T5_01,,
3062,CH_Mace_1H_TE_02,CH_Mace_1H_TE_02,,
3063,CH_Pick_1H_T3_03,CH_Pick_1H_T3_03,,2561
3064,CH_Pick_1H_T4_01,CH_Pick_1H_T4_01,,
3065,CH_Pick_1H_T5_01,CH_Pick_1H_T5_01,,
3066,CH_Pick_1H_T5_02,CH_Pick_1H_T5_02,,
3067,CH_Shield_T5_01,CH_Shield_T5_01,,
3068,CH_Shield_T5_02,CH_Shield_T5_02,,
3069,CH_Shield_TE_03,CH_Shield_TE_03,,2561
3070,CH_Sword_1H_T5_01,CH_Sword_1H_T5_01,,
3071,CH_Sword_1H_T5_02,CH_Sword_1H_T5_02,,
3072,CH_Sword_1H_T5_03,CH_Sword_1H_T5_03,,
3073,CH_Sword_1H_TE_02,CH_Sword_1H_TE_02,,2569
3074,CH_Sword_2H_T5_01,CH_Sword_2H_T5_01,,
3075,CH_Sword_2H_T5_02,CH_Sword_2H_T5_02,,
3076,CH_Sword_2H_T5_03,CH_Sword_2H_T5_03,,
3077,DE_Chalice_T5_01,DE_Chalice_T5_01,,
3078,DE_Chalice_T5_02,DE_Chalice_T5_02,,
3079,DE_Chalice_T5_03,DE_Chalice_T5_03,,
3080,DE_Chalice_TE_03,DE_Chalice_TE_03,,2561
3081,NPC_SK_Catcher_01,NPC_SK_Catcher_01,,
3082,NPC_SK_Catcher_02,NPC_SK_Catcher_02,,2561
3083,NPC_SK_Globe_01,NPC_SK_Globe_01,,
3084,NPC_Skavenstaff_02,NPC_Skavenstaff_02,,
3085,,,,
3086,,,,
3087,,,,
3088,,,,
