,,,,0,Buff,Build Up,Action,Special,Play,Mount Build,MountAction,ActivateAgro,Suppress,Force in phase to be ## seconds,Max Playback Rate,,,,
4418,Stomp,,]cast ,0,0,,70,4418,1,,,1,,,,,,,
4419,Stomp,,]cast ,0,0,,70,4419,1,,,1,,,,,,,
4420,Spl_S (No Icon) - Generic,,]cast ,0,0,,71,4420,1,,,1,,,,,,,
4421,Spl_S,,]cast ,0,0,,71,4421,1,,,1,,,,,,,
4422,Spl_S,,]cast ,0,0,,71,4422,1,,,1,,,,,,,
4423,Spl_S,,]cast ,0,0,,71,4423,1,,,1,,,,,,,
4424,Spl_S,,]cast ,0,0,,71,4424,1,,,1,,,,,,,
4425,Spl_S,,]cast ,0,0,,71,4425,1,,,1,,,,,,,
4426,Spl_S,,]cast ,0,0,,71,4426,1,,,1,,,,,,,
4427,Spl_S,,]cast ,0,0,,71,4427,1,,,1,,,,,,,
4428,Spl_S,,]cast ,0,0,,71,4428,1,,,1,,,,,,,
4429,Spl_S,,]cast ,0,0,,71,4429,1,,,1,,,,,,,
4430,Spl_S,,]cast ,0,0,,71,4430,1,,,1,,,,,,,
4431,Spl_S,,]cast ,0,0,,71,4431,1,,,1,,,,,,,
4432,Spl_S,,]cast ,0,0,,71,4432,1,,,1,,,,,,,
4433,Spl_S,,]cast ,0,0,,71,4433,1,,,1,,,,,,,
4434,Spl_S,,]cast ,0,0,,71,4434,1,,,1,,,,,,,
4435,Spl_S,,]cast ,0,0,,71,4435,1,,,1,,,,,,,
4436,Spl_S,,]cast ,0,0,,71,4436,1,,,1,,,,,,,
4437,Spl_S,,]cast ,0,0,,71,4437,1,,,1,,,,,,,
4438,Spl_S,,]cast ,0,0,,71,4438,1,,,1,,,,,,,
4439,Spl_S,,]cast ,0,0,,71,4439,1,,,1,,,,,,,
4440,Spl_S,,]cast ,0,0,,71,4440,1,,,1,,,,,,,
4441,Spl_S,,]cast ,0,0,,71,4441,1,,,1,,,,,,,
4442,Spl_S,,]cast ,0,0,,71,4442,1,,,1,,,,,,,
4443,Spl_S,,]cast ,0,0,,71,4443,1,,,1,,,,,,,
4444,Spl_S,,]cast ,0,0,,71,4444,1,,,1,,,,,,,
4445,Spl_S,,]cast ,0,0,,71,4445,1,,,1,,,,,,,
4446,Spl_S,,]cast ,0,0,,71,4446,1,,,1,,,,,,,
4447,Spl_S,,]cast ,0,0,,71,4447,1,,,1,,,,,,,
4448,Spl_S,,]cast ,0,0,,71,4448,1,,,1,,,,,,,
4449,Spl_S,,]cast ,0,0,,71,4449,1,,,1,,,,,,,
4450,Spl_S,,]cast ,0,0,,71,4450,1,,,1,,,,,,,
4451,Spl_S,,]cast ,0,0,,71,4451,1,,,1,,,,,,,
4452,Spl_S,,]cast ,0,0,,71,4452,1,,,1,,,,,,,
4453,Spl_S,,]cast ,0,0,,71,4453,1,,,1,,,,,,,
4454,Spl_S,,]cast ,0,0,,71,4454,1,,,1,,,,,,,
4455,Spl_S,,]cast ,0,0,,71,4455,1,,,1,,,,,,,
4456,Spl_S,,]cast ,0,0,,71,4456,1,,,1,,,,,,,
4457,Spl_S,,]cast ,0,0,,71,4457,1,,,1,,,,,,,
4458,Spl_S,,]cast ,0,0,,71,4458,1,,,1,,,,,,,
4459,Spl_S,,]cast ,0,0,,71,4459,1,,,1,,,,,,,
4460,Spl_T (No Icon) - Generic,,]cast ,0,0,,72,4460,1,,,1,,,,,,,
4461,Spl_T,,]cast ,0,0,,72,4461,1,,,1,,,,,,,
4462,Spl_T,,]cast ,0,0,,72,4462,1,,,1,,,,,,,
4463,Spl_T,,]cast ,0,0,,72,4463,1,,,1,,,,,,,
4464,Spl_T,,]cast ,0,0,,72,4464,1,,,1,,,,,,,
4465,Spl_T,,]cast ,0,0,,72,4465,1,,,1,,,,,,,
4466,Spl_T,,]cast ,0,0,,72,4466,1,,,1,,,,,,,
4467,Spl_T,,]cast ,0,0,,72,4467,1,,,1,,,,,,,
4468,Spl_T,,]cast ,0,0,,72,4468,1,,,1,,,,,,,
4469,Spl_T,,]cast ,0,0,,72,4469,1,,,1,,,,,,,
4470,Spl_T,,]cast ,0,0,,72,4470,1,,,1,,,,,,,
4471,Spl_T,,]cast ,0,0,,72,4471,1,,,1,,,,,,,
4472,Spl_T,,]cast ,0,0,,72,4472,1,,,1,,,,,,,
4473,Spl_T,,]cast ,0,0,,72,4473,1,,,1,,,,,,,
4474,Spl_T,,]cast ,0,0,,72,4474,1,,,1,,,,,,,
4475,Spl_T,,]cast ,0,0,,72,4475,1,,,1,,,,,,,
4476,Spl_T,,]cast ,0,0,,72,4476,1,,,1,,,,,,,
4477,Spl_T,,]cast ,0,0,,72,4477,1,,,1,,,,,,,
4478,Spl_T,,]cast ,0,0,,72,4478,1,,,1,,,,,,,
4479,Spl_T,,]cast ,0,0,,72,4479,1,,,1,,,,,,,
4480,Spl_T,,]cast ,0,0,,72,4480,1,,,1,,,,,,,
4481,Spl_T,,]cast ,0,0,,72,4481,1,,,1,,,,,,,
4482,Spl_T,,]cast ,0,0,,72,4482,1,,,1,,,,,,,
4483,Spl_T,,]cast ,0,0,,72,4483,1,,,1,,,,,,,
4484,Spl_T,,]cast ,0,0,,72,4484,1,,,1,,,,,,,
4485,Spl_T,,]cast ,0,0,,72,4485,1,,,1,,,,,,,
4486,Spl_T,,]cast ,0,0,,72,4486,1,,,1,,,,,,,
4487,Spl_T,,]cast ,0,0,,72,4487,1,,,1,,,,,,,
4488,Spl_T,,]cast ,0,0,,72,4488,1,,,1,,,,,,,
4489,Spl_T,,]cast ,0,0,,72,4489,1,,,1,,,,,,,
4490,Rifle (No Icon) - Generic,,]cast ,0,0,,72,4490,1,,,1,,,,,,,
4491,Rifle (Face No Mouth) - Silence,,]cast ,5291,5291,,72,4491,1,,,1,,,,,,,
4492,Rifle (Foot Held) - Snare,,]cast ,11011,11011,,72,4492,1,,,1,,,,,,,
4493,Rifle (Bleeding Foot) - Snare/DoT,,]cast ,5191,5191,,72,4493,1,,,1,,,,,,,
4494,Rifle (Bleeding Cut) - DoT,,]cast ,2434,2434,,72,4494,1,,,1,,,,,,,
4495,Rifle (Frozen Clock) - Increased Cooldown,,]cast ,4532,4532,,72,4495,1,,,1,,,,,,,
4496,Rifle - (Power draining from head) - Ap drain,,]cast ,13358,13358,,72,4496,1,,,1,,,,,,,
4497,Spl_T,,]cast ,0,0,,72,4497,1,,,1,,,,,,,
4498,Spl_T,,]cast ,0,0,,72,4498,1,,,1,,,,,,,
4499,Spl_T,,]cast ,0,0,,72,4499,1,,,1,,,,,,,
;,;End Core Monsters,,,,,,,,,,,,,,,,,,
;,;Potions,,,,,,,,,,,,,,,,,,
4500,Savage Vigor,,]cast 15616,488,488,,112,4500,1,,,1,,,,,,,
4501,Inevitable Tempest,,]cast 15617,488,488,,112,4501,1,,,1,,,,,,,
4502,Inspirational Winds,,]cast 15618,488,488,,112,4502,1,,,1,,,,,,,
4503,Unfettered Zeal,,]cast 15619,488,488,,112,4503,1,,,1,,,,,,,
4504,Tolling Bell,,]cast 15620,488,488,,112,4504,1,,,1,,,,,,,
4505,Eternal Hunt,,]cast 15621,488,488,,112,4505,1,,,1,,,,,,,
4506,War: Demise,,]cast 15622,488,488,,112,4506,1,,,1,,,,,,,
4507,War: Blood,,]cast 15623,488,488,,112,4507,1,,,1,,,,,,,
4508,War: Genius,,]cast 15624,488,488,,112,4508,1,,,1,,,,,,,
4509,War: Fervor,,]cast 15625,488,488,,112,4509,1,,,1,,,,,,,
4510,War: Mercy,,]cast 15626,488,488,,112,4510,1,,,1,,,,,,,
4511,War: Hunger,,]cast 15627,488,488,,112,4511,1,,,1,,,,,,,
4512,Rod of Service,BAF DT 75610,]cast ,940,940,0,0,4512,1,,,1,,,,,,,
4513,Lash of Servitude,BAF DT 75610,]cast ,955,955,0,0,4513,1,,,1,,,,,,,
4514,Alchemist Tonic,,]cast 15977,488,488,,0,4514,1,,,1,,,,,,,
4515,Green Thumb Tonic,,]cast 15978,488,488,,0,4515,1,,,1,,,,,,,
4516,Reclaimer Tonic,,]cast 15979,488,488,,0,4516,1,,,1,,,,,,,
4517,Curator Tonic,,]cast 15980,488,488,,0,4517,1,,,1,,,,,,,
4518,Nepenthean Tonic,,]cast 15981,488,488,,0,4518,1,,,1,,,,,,,
4519, Zephyr Tonics,,]cast 15982,488,488,,0,4519,1,,,1,,,,,,,
;,;Items - On Heal Procs,,,,,,,,,,,,,,,,,,
4520,Guidance I-XI,Self Heal Booster ,,20350,20350,,99,4520,1,,,1,,,,,,,
4521,Purpose I-XI,Self Spirit Resist Buff ,,20332,20332,,99,4521,1,,,1,,,,,,,
4522,Temper I-XI,Self Elem Resist Buff ,,20329,20329,,99,4522,1,,,1,,,,,,,
4523,Fortify I-XI,Self Corp Resist Buff ,,20330,20330,,99,4523,1,,,1,,,,,,,
4524,Restoration I-XI,Self HoT ,,390,390,,99,4524,1,,,1,,,,,,,
4525,Expel I-III,Self Cleanse,,0,0,,99,4525,1,,,1,,,,,,,
4526,Confidence I-VI,Self Morale Regen,,288,288,,99,4526,1,,,1,,,,,,,
4527,Courage I-XI,Target Spirit Resist Buff ,,20332,20332,,99,4527,1,,,1,,,,,,,
4528,Acclimate I-XI,Target Elem Resist Buff ,,20329,20329,,99,4528,1,,,1,,,,,,,
4529,Presence I-XI,Target Corp Resist Buff ,,20330,20330,,99,4529,1,,,1,,,,,,,
4530,Aid I-XI,Target HoT ,,390,390,,99,4530,1,,,1,,,,,,,
4531,Absolve I-III,Target Cleanse,,0,0,,99,4531,1,,,1,,,,,,,
4532,Inspire I-VI,Target Morale Regen,,288,288,,99,4532,1,,,1,,,,,,,
;,;Misc,,,,,,,,,,,,,,,,,,
4533,Glorious Return,,]cast ,8011,8011,,99,4533,1,,,1,,,,,,,
;,;Items - Tomb King Talismans,,,,,,,,,,,,,,,,,,
4534,Talisman Absorb,,]cast ,2451,2451,,0,4534,1,,,1,,,,,,,
4535,Talisman Haste,,]cast ,5241,5241,,0,4535,1,,,1,,,,,,,
4536,Talisman Clarity,,]cast ,8005,8005,,0,4536,1,,,1,,,,,,,
4537,Talisman Piercing,,]cast ,8020,8020,,0,4537,1,,,1,,,,,,,
4538,Greater Soul Barrier,,]cast ,5287,5287,,0,4538,1,,,1,,,,,,,
4539,Greater Soul Haste,,]cast ,22257,22257,,0,4539,1,,,1,,,,,,,
4540,Greater Soul Clarity,,]cast ,2440,2440,,0,4540,1,,,1,,,,,,,
4541,Greater Soul Piercing,,]cast ,2575,2575,,0,4541,1,,,1,,,,,,,
4542,Soul Strength,,]cast ,2451,2451,,0,4542,1,,,1,,,,,,,
4543,Soul Intelligence,,]cast ,5241,5241,,0,4543,1,,,1,,,,,,,
4544,Soul Ballistics,,]cast ,8005,8005,,0,4544,1,,,1,,,,,,,
4545,Soul Toughness,,]cast ,8020,8020,,0,4545,1,,,1,,,,,,,
4546,Soul Initiative,,]cast ,5287,5287,,0,4546,1,,,1,,,,,,,
4547,Soul Willpower,,]cast ,22257,22257,,0,4547,1,,,1,,,,,,,
4548,Soul Absorb,,]cast ,2440,2440,,0,4548,1,,,1,,,,,,,
4549,Soul Regeneration,,]cast ,2575,2575,,0,4549,1,,,1,,,,,,,
;,;Items - Butchering Liniments,,,,,,,,,,,,,,,,,,
4550,Liniment of the Inexorable Aegis,,]cast ,488,488,,112,4550,1,,,1,,,,,,,
4551,Liniment of Quickened Blades,,]cast ,488,488,,112,4551,1,,,1,,,,,,,
4552,Liniment of Boundless Sight,,]cast ,488,488,,112,4552,1,,,1,,,,,,,
4553,Linment of Peerless Defense ,,]cast ,488,488,,112,4553,1,,,1,,,,,,,
4554,Liniment of Immutable Defiance,,]cast ,488,488,,112,4554,1,,,1,,,,,,,
4555,Liniment of Swift Tergiversation,,]cast ,488,488,,112,4555,1,,,1,,,,,,,
4556,,,]cast ,0,0,,0,4556,1,,,1,,,,,,,
4557,,,]cast ,0,0,,0,4557,1,,,1,,,,,,,
4558,,,]cast ,0,0,,0,4558,1,,,1,,,,,,,
4559,,,]cast ,0,0,,0,4559,1,,,1,,,,,,,
4560,Chikkin,Copy of Chicken effect,]cast ,2490,2490,,99,4560,1,,,1,,,,,,,
4561,Tenda,Copy of Death Penalty,]cast ,2490,2490,,32,4561,1,,,1,,,,,,,
4562,Release Swarm,VFX dummy for Content,]cast ,0,0,,0,4562,1,,,1,,,,,,,
4563,Content - Throwing Water,Icon for RotTK Event PQ abil,]cast ,13383,13383,,151,4563,1,,,1,,,,,,,
4564,Content - the big stick,Icon for RotTK Event PQ abil,]cast ,2416,2416,,68,4564,1,,,1,,,,,,,
4565,,,]cast ,0,0,,0,4565,1,,,1,,,,,,,
4566,;Items - Tomb King Potions,,]cast ,0,0,,0,4566,1,,,1,,,,,,,
4567,Swarm of Scarbs,,]cast ,219,219,,73,4567,1,,,1,,,,,,,
4568,Speed of the Blowing Sand,,]cast ,675,675,,112,4568,1,,,1,,,,,,,
4569,Amenemhetum's Protector,,]cast ,530,530,,73,4569,1,,,1,,,,,,,
4570,Elixir of Basth (Health Restore),,]cast ,463,463,,112,4570,1,,,1,,,,,,,
4571,Blood of Asaph (AP restore),,]cast ,523,523,,112,4571,1,,,1,,,,,,,
4572,Elixir of Ptra (Second Wind),,]cast ,530,530,,112,4572,1,,,1,,,,,,,
4573,Elixir of Tahoth (Clarity),,]cast ,487,487,,112,4573,1,,,1,,,,,,,
4574,Golden Ankhra,,]cast ,27001,27001,,73,4574,1,,,0,,,,,,,
4575,Golden Eye of Rah-Nutt,,]cast ,20459,20459,,73,4575,1,,,0,,,,,,,
4576,Neferra's Plagues,,]cast ,27019,27019,,73,4576,1,,,0,,,,,,,
4577,Crook of Radiance,,]cast ,27015,27015,,73,4577,1,,,0,,,,,,,
4578,Hieratic Jar,,]cast ,27017,27017,,73,4578,1,,,0,,,,,,,
4579,Icon of Rakaph,,]cast ,27010,27010,,73,4579,1,,,0,,,,,,,
4580,Collar of Shapesh,,]cast ,936,936,,73,4580,1,,,0,,,,,,,
4581,Tomb King Pocket Banners,,]cast ,5125,5125,,70,4581,1,,,0,,,,,,,
4582,Tomb King Pocket Banner Buffs,,]cast ,28300,28300,,32,4582,1,,,0,,,,,,,
;,;Items - Event Potions and Talismans,,,,,,,,,,,,,,,,,,
4583,Healing Tincture,,]cast ,462,462,,112,4583,1,,,0,,,,,,,
4584,Invigorating Tincture,,]cast ,522,522,,112,4584,1,,,1,,,,,,,
4585,Zephyrus Tincture ,,]cast ,20334,20334,,112,4585,1,,,1,,,,,,,
4586,Hartshorne Tincture,,]cast ,20333,20333,,112,4586,1,,,1,,,,,,,
4587,Vehemence Tincture,,]cast ,20335,20335,,112,4587,1,,,1,,,,,,,
4588,Elemental Screening Tincture,,]cast ,498,498,,112,4588,1,,,1,,,,,,,
4589,Spiritual Screening Tincture,,]cast ,450,450,,112,4589,1,,,1,,,,,,,
4590,Corporeal Screening Tincture,,]cast ,474,474,,112,4590,1,,,1,,,,,,,
4591,Talisman of Battle,,]cast ,408,408,,99,4591,1,,,1,,,,,,,
4592,Talisman of War,,]cast ,407,407,,99,4592,1,,,1,,,,,,,
4593,,,]cast ,0,0,,0,4593,1,,,1,,,,,,,
4594,,,]cast ,0,0,,0,4594,1,,,1,,,,,,,
4595,,,]cast ,0,0,,0,4595,1,,,1,,,,,,,
4596,,,]cast ,0,0,,0,4596,1,,,1,,,,,,,
4597,,,]cast ,0,0,,0,4597,1,,,1,,,,,,,
4598,,,]cast ,0,0,,0,4598,1,,,1,,,,,,,
4599,,,]cast ,0,0,,0,4599,1,,,1,,,,,,,
;,Wild Hunt Effects (4600-4649),,,,,,,;,,,,,,,,,,,
4600,Fleshrend,Lion DOT,]cast ,2434,2434,,68,4600,1,,,1,,,,,,,
4601,Grasping Earth,Boss Root,]cast ,2578,2578,,174,4601,1,,,1,,,,,,,
4602,Pack Tactics,Wolf AE Buff,]cast ,5192,5192,,170,4602,1,,,1,,,,,,,
4603,Intimidating Roar,Lion Root,]cast ,13450,13450,,170,4603,1,,,1,,,,,,,
4604,Protective Stance,Lion Guard,]cast ,13447,13447,,0,4604,1,,,1,,,,,,,
4605,Javelin Deluge (Impact),Javelin Downpour,]cast 13193,13447,13447,,32,4605,1,,,1,,,,,,,
4606,Mark of the Prey,Add spawner,]cast ,7901,7901,,170,4606,1,,,1,,,,,,,
4607,Shred the Flesh,Lion DOT,]cast ,2434,2434,,68,4607,1,,,1,,,,,,,
4608,Lion Enrage,Enrage state,]cast ,13427,13427,,0,4608,1,,,1,,,,,,,
4609,Ripped Flesh,Lion armor debuff,]cast ,2656,2656,,68,4609,1,,,1,,,,,,,
4610,Shock of Nature,Kurnous DoT,]cast 13160,13336,13336,,32,4610,1,,,1,,,,,,,
4611,Vengeful Thrust,Kurnous DD,]cast 13161,0,0,,67,4611,1,,,1,,,,,,,
4612,Blood Clot Armor,Damabe Absorb passive,]cast,5312,5312,,0,4612,1,,,1,,,,,,,
4613,Force of Nature,Kurnous Shapeshift - Wolf,]cast 13163,13432,13432,,32,4613,1,,,1,,,,,,,
4614,Winter's Breath,Wolf PBAE Howl,]cast 13167,10919,10919,,69,4614,1,,,1,,,,,,,
4615,Banished,Banished from Hunter's Vale,]cast 13168,7960,7960,,32,4615,1,,,1,,,,,,,
4616,Thundering Roar,Lion CONE Roar,]cast 13169,13450,13450,,170,4616,1,,,1,,,,,,,
4617,Feral Blitz,Lion Bumrush Attack,]cast 13170,13429,13429,,170,4617,1,,,1,,,,,,,
4618,Curse of Kurnous,PQ Curse,]cast ,13332,13332,,32,4618,1,,,1,,,,,,,
4619,,,]cast ,0,0,,0,4619,1,,,1,,,,,,,
4620,Tackle,Hound Tackle,]cast 13173,5219,5219,,98,4620,1,,,1,,,,,,,
4621,Blood of Rage,Debuff/damage,]cast 24524,5268,5268,,0,4621,1,,,1,,,,,,,
4622,Roar,Temp Ability,]cast 13174,13450,13450,,69,4622,1,,,1,,,,,,,
4623,Pack Assist,Temp Ability,]cast ,2652,2652,,32,4623,1,,,1,,,,,,,
4624,Animal Aspects,Grants Temp Abilities,]cast ,13332,13332,,32,4624,1,,,1,,,,,,,
4625,Guarded cover,Temp Ability,]cast ,13396,13396,,0,4625,1,,,1,,,,,,,
4626,Skull Crush,Bloodthurster Stomp,]cast ,0,0,,70,4626,1,,,1,,,,,,,
4627,Raging Javelin,Portal Crossfire,]cast 13158,13326,13326,,32,4627,1,,,1,,,,,,,
4628,Javelin Deluge (Cast),Javelin Downpour,]cast 13159,0,0,,72,4628,1,,,1,,,,,,,
4629,Frothing Wound,Mother Dot+heal debuff,]cast ,5219,5219,,68,4629,1,,,1,,,,,,,
4630,Winter's Breath,Frost Patch on Ground,]cast 13180,10919,10919,,32,4630,1,,,1,,,,,,,
4631,Master of the Hunt,Boss Enrage,]cast 13189,13332,13332,,70,4631,1,,,1,,,,,,,
4632,Fleshbloom Seeds,Thanan projectile DOT+mob spawn,]cast ,5136,5136,,68,4632,1,,,1,,,,,,,
4633,Bloodleech Roots,Thanan CONE Lifetap,]cast ,0,0,,171,4633,1,,,1,,,,,,,
4634,Maimed,Lion snare,]cast ,13428,13428,,0,4634,1,,,1,,,,,,,
4635,Dirty Wounds,Stacking damage increase,]cast ,13328,13328,,0,4635,1,,,1,,,,,,,
4636,Spirited Swing,"Event ""Wild Hunt"" PQ",]cast ,2562,2562,,176,4636,1,,,1,,,,,,,
4637,Hellfire,Daemon Moon Pulsing DDs,]cast ,0,0,,0,4637,1,,,1,,,,,,,
4638,Daemon Cradle,Daemon Moon Rising PQ,]cast ,5103,5103,,32,4638,0,,,0,,,,,,,
4639,Goreslakes Zones Melee,Daemon Moon Rising Boss,]cast ,5003,5003,,0,4639,1,,,1,,,,,,,
4640,Goreslakes Zones Magic,Daemon Moon Rising Boss,]cast ,5114,5114,,0,4640,1,,,1,,,,,,,
4641,Skull Toss,Daemon Moon Rising RvR PQ,]cast ,10935,10935,,23,4641,1,,,1,,,,,,,
4642,Weekend Event Scenario,Weekend Event Buff,]cast ,4567,4567,,32,4642,1,,,1,,,,,,,
4643,Vanquisher's Boon,Grants additional Scenario Emblems,]cast ,10962,10962,,32,4643,1,,,1,,,,,,,
4644,Suffocating Sands,TotVL Boss 7 Exit Blocker,]cast 23905,5296,5296,,32,4644,1,,,1,,,,,,,
4645,Petition to the Emperor,King Fight - Champion Temp Ability,]cast ,8039,8039,,35,4645,1,,,1,,,,,,,
4646,Plead to Tchar’Zanek,King Fight - Champion Temp Ability,]cast ,5296,5296,,35,4646,1,,,1,,,,,,,
4647,Assist the Daemoncaller,Contested Altdorf LoChange Summon,]cast 24633,5246,5246,,32,4647,1,,,1,,,,,,,
4648,Free the Sun Dragon,Contested IC Sun Dragon Free,]cast 24634,13301,13301,,32,4648,1,,,1,,,,,,,
4649,Champions' Protection,King Fight - Champion Immunities,]cast 24635 & 24636,23175,23175,,32,4649,1,,,1,,,,,,,
;,Animations: Korean Pre-Game (4650-4749),,,,,,,,,,,,,,,,,,
;,Animations: Korean Pre-Game (4650-4749) Greenskin,,,,,,,,,,,,,,,,,,
4650,greenskin Tank acknowledge,45,]cast ,0,0,,45,4650,1,,,0,,,,,,,
4651,greenskin Tank flourish1,46,]cast ,0,0,,46,4651,1,,,0,,,,,,,
4652,greenskin Tank flourish2,43,]cast ,0,0,,43,4652,1,,,0,,,,,,,
4653,greenskin Tank flourish3,44,]cast ,0,0,,44,4653,1,,,0,,,,,,,
4654,greenskin Healer acknowledge,45,]cast ,0,0,,45,4654,1,,,0,,,,,,,
4655,greenskin Healer flourish1,46,]cast ,0,0,,46,4655,1,,,0,,,,,,,
4656,greenskin Healer flourish2,43,]cast ,0,0,,43,4656,1,,,0,,,,,,,
4657,greenskin Healer flourish3,44,]cast ,0,0,,44,4657,1,,,0,,,,,,,
4658,greenskin MDPS acknowledge,45,]cast ,0,0,,45,4658,1,,,0,,,,,,,
4659,greenskin MDPS flourish1,46,]cast ,0,0,,46,4659,1,,,0,,,,,,,
4660,greenskin MDPS flourish2,43,]cast ,0,0,,43,4660,1,,,0,,,,,,,
4661,greenskin MDPS flourish3,44,]cast ,0,0,,44,4661,1,,,0,,,,,,,
4662,greenskin RDPS acknowledge,45,]cast ,0,0,,45,4662,1,,,0,,,,,,,
4663,greenskin RDPS flourish1,46,]cast ,0,0,,46,4663,1,,,0,,,,,,,
4664,greenskin RDPS flourish2,43,]cast ,0,0,,43,4664,1,,,0,,,,,,,
4665,greenskin RDPS flourish3,44,]cast ,0,0,,44,4665,1,,,0,,,,,,,
;,Animations: Korean Pre-Game (4650-4749) Dwarf,,,,,,,,,,,,,,,,,,
4666,Dwarf Tank acknowledge,45,]cast ,0,0,,45,4666,1,,,0,,,,,,,
4667,Dwarf Tank flourish1,46,]cast ,0,0,,46,4667,1,,,0,,,,,,,
4668,Dwarf Tank flourish2,43,]cast ,0,0,,43,4668,1,,,0,,,,,,,
4669,Dwarf Tank flourish3,44,]cast ,0,0,,44,4669,1,,,0,,,,,,,
4670,Dwarf Healer acknowledge,45,]cast ,0,0,,45,4670,1,,,0,,,,,,,
4671,Dwarf Healer flourish1,46,]cast ,0,0,,46,4671,1,,,0,,,,,,,
4672,Dwarf Healer flourish2,43,]cast ,0,0,,43,4672,1,,,0,,,,,,,
4673,Dwarf Healer flourish3,44,]cast ,0,0,,44,4673,1,,,0,,,,,,,
4674,Dwarf MDPS acknowledge,45,]cast ,0,0,,45,4674,1,,,0,,,,,,,
4675,Dwarf MDPS flourish1,46,]cast ,0,0,,46,4675,1,,,0,,,,,,,
4676,Dwarf MDPS flourish2,43,]cast ,0,0,,43,4676,1,,,0,,,,,,,
4677,Dwarf MDPS flourish3,44,]cast ,0,0,,44,4677,1,,,0,,,,,,,
4678,Dwarf RDPS acknowledge,45,]cast ,0,0,,45,4678,1,,,0,,,,,,,
4679,Dwarf RDPS flourish1,46,]cast ,0,0,,46,4679,1,,,0,,,,,,,
4680,Dwarf RDPS flourish2,43,]cast ,0,0,,43,4680,1,,,0,,,,,,,
4681,Dwarf RDPS flourish3,44,]cast ,0,0,,44,4681,1,,,0,,,,,,,
;,Animations: Korean Pre-Game (4650-4749) Empire,,,,,,,,,,,,,,,,,,
4682,Empire Tank acknowledge,45,]cast ,0,0,,45,4682,1,,,0,,,,,,,
4683,Empire Tank flourish1,46,]cast ,0,0,,46,4683,1,,,0,,,,,,,
4684,Empire Tank flourish2,43,]cast ,0,0,,43,4684,1,,,0,,,,,,,
4685,Empire Tank flourish3,44,]cast ,0,0,,44,4685,1,,,0,,,,,,,
4686,Empire Healer acknowledge,45,]cast ,0,0,,45,4686,1,,,0,,,,,,,
4687,Empire Healer flourish1,46,]cast ,0,0,,46,4687,1,,,0,,,,,,,
4688,Empire Healer flourish2,43,]cast ,0,0,,43,4688,1,,,0,,,,,,,
4689,Empire Healer flourish3,44,]cast ,0,0,,44,4689,1,,,0,,,,,,,
4690,Empire MDPS acknowledge,45,]cast ,0,0,,45,4690,1,,,0,,,,,,,
4691,Empire MDPS flourish1,46,]cast ,0,0,,46,4691,1,,,0,,,,,,,
4692,Empire MDPS flourish2,43,]cast ,0,0,,43,4692,1,,,0,,,,,,,
4693,Empire MDPS flourish3,44,]cast ,0,0,,44,4693,1,,,0,,,,,,,
4694,Empire RDPS acknowledge,45,]cast ,0,0,,45,4694,1,,,0,,,,,,,
4695,Empire RDPS flourish1,46,]cast ,0,0,,46,4695,1,,,0,,,,,,,
4696,Empire RDPS flourish2,43,]cast ,0,0,,43,4696,1,,,0,,,,,,,
4697,Empire RDPS flourish3,44,]cast ,0,0,,44,4697,1,,,0,,,,,,,
;,Animations: Korean Pre-Game (4650-4749) Chaos,,,,,,,,,,,,,,,,,,
4698,Chaos Tank acknowledge,45,]cast ,0,0,,45,4698,1,,,0,,,,,,,
4699,Chaos Tank flourish1,46,]cast ,0,0,,46,4699,1,,,0,,,,,,,
4700,Chaos Tank flourish2,43,]cast ,0,0,,43,4700,1,,,0,,,,,,,
4701,Chaos Tank flourish3,44,]cast ,0,0,,44,4701,1,,,0,,,,,,,
4702,Chaos Healer acknowledge,45,]cast ,0,0,,45,4702,1,,,0,,,,,,,
4703,Chaos Healer flourish1,46,]cast ,0,0,,46,4703,1,,,0,,,,,,,
4704,Chaos Healer flourish2 (fidget),43,]cast ,0,0,,43,4704,1,,,0,,,,,,,
4705,Chaos Healer flourish3 (fidget2),44,]cast ,0,0,,44,4705,1,,,0,,,,,,,
4706,Chaos MDPS acknowledge,45,]cast ,0,0,,45,4706,1,,,0,,,,,,,
4707,Chaos MDPS flourish1,46,]cast ,0,0,,46,4707,1,,,0,,,,,,,
4708,Chaos MDPS flourish2,43,]cast ,0,0,,43,4708,1,,,0,,,,,,,
4709,Chaos MDPS flourish3,44,]cast ,0,0,,44,4709,1,,,0,,,,,,,
4710,Chaos RDPS acknowledge,45,]cast ,0,0,,45,4710,1,,,0,,,,,,,
4711,Chaos RDPS flourish1,46,]cast ,0,0,,46,4711,1,,,0,,,,,,,
4712,Chaos RDPS flourish2,43,]cast ,0,0,,43,4712,1,,,0,,,,,,,
4713,Chaos RDPS flourish3,44,]cast ,0,0,,44,4713,1,,,0,,,,,,,
;,Animations: Korean Pre-Game (4650-4749) HighElf,,,,,,,,,,,,,,,,,,
4714,HighElf Tank acknowledge,45,]cast ,0,0,,45,4714,1,,,0,,,,,,,
4715,HighElf Tank flourish1,46,]cast ,0,0,,46,4715,1,,,0,,,,,,,
4716,HighElf Tank flourish2,43,]cast ,0,0,,43,4716,1,,,0,,,,,,,
4717,HighElf Tank flourish3,44,]cast ,0,0,,44,4717,1,,,0,,,,,,,
4718,HighElf Healer acknowledge,45,]cast ,0,0,,45,4718,1,,,0,,,,,,,
